	TCGA-3X-AAV9-01A	TCGA-3X-AAVA-01A	TCGA-3X-AAVB-01A	TCGA-3X-AAVC-01A	TCGA-3X-AAVE-01A	TCGA-4G-AAZO-01A	TCGA-4G-AAZT-01A	TCGA-W5-AA2G-01A	TCGA-W5-AA2H-01A	TCGA-W5-AA2I-01A	TCGA-W5-AA2O-01A	TCGA-W5-AA2Q-01A	TCGA-W5-AA2R-01A	TCGA-W5-AA2T-01A	TCGA-W5-AA2U-01A	TCGA-W5-AA2W-01A	TCGA-W5-AA2X-01A	TCGA-W5-AA2Z-01A	TCGA-W5-AA30-01A	TCGA-W5-AA31-01A	TCGA-W5-AA33-01A	TCGA-W5-AA34-01A	TCGA-W5-AA36-01A	TCGA-W5-AA38-01A	TCGA-W5-AA39-01A	TCGA-W6-AA0S-01A	TCGA-WD-A7RX-01A	TCGA-YR-A95A-01A	TCGA-ZD-A8I3-01A	TCGA-ZH-A8Y1-01A	TCGA-ZH-A8Y2-01A	TCGA-ZH-A8Y4-01A	TCGA-ZH-A8Y5-01A	TCGA-ZH-A8Y6-01A	TCGA-ZH-A8Y8-01A	TCGA-ZU-A8S4-01A
hsa-let-7b-5p|0|-4	2.67796148355911	2.9415367058988897	4.03268940289078	2.6400513311443397	3.48588003091532	3.83174940606964	4.07362375410644	2.7756640234056498	4.04916486392914	3.7055506567931498	1.1995653123894	5.575206357440099	4.06987277708659	4.2854179744383405	3.2979863739357205	4.1266072119987705	4.2231800872201	3.66238658941423	3.2005444722719707	3.0897197411978103	4.0824712399825005	3.7395957342618598	3.21921611728697	3.17220016367337	3.07138968662133	3.6841095813455498	2.86449111234611	4.08740752653386	3.94572873464777	4.8572529286437005	4.31647182616624	3.47022052191714	5.22402582096373	2.43421974653594	3.4156940507375197	3.40605371817878
hsa-let-7b-5p|0|0	12.1123412462416	11.796224754072401	13.052110832757599	11.7756986232109	12.108796599885599	12.442602971579198	12.043603389722099	12.118417894140698	11.8454203339465	12.8012341845399	11.861569858747	12.937035889415801	11.5180571221383	12.492383883336899	10.9887303113183	12.9505574735336	13.016233461840999	12.267689428988499	11.615748043071301	11.5862893790237	12.0336499028479	11.8126105222122	11.3435334700365	12.0915083006273	12.0892414293819	12.003887653609299	11.6170902766847	12.3355125761205	12.1193135849734	13.2268438975543	12.432048566138501	12.170154888190998	12.968573355187699	11.001874573556302	12.384813894268	13.044002012950099
hsa-let-7c-3p|0|0	2.63680475058025	2.75010874771416	3.0000675207099996	1.3018163283611899	1.96911957896598	2.48890049024333	3.01708322986811	2.19336918227977	2.84059705090038	1.65956522706671	2.08466350772995	2.3658192455516	3.1723048501580093	0.6297935744348531	2.9730522445671497	0.7598984860860429	1.19256655394104	3.3066169552356	2.4729289808248196	1.7785349147429699	3.0719906481109303	1.555058770203	2.4683900309389197	0.4967024882569529	2.16513849359836	2.33776999535793	2.64833571210269	2.05821473770659	2.41218205286707	2.8553397992127003	1.9532537613332501	0.7825625100165009	2.18680734429446	2.51054865993553	1.5159687796491599	2.15261038175454
hsa-let-7c-5p|-1|-1	3.32181031159643	2.5877774851639	3.1182497057000296	0.8776391532733141	1.8902739211945598	2.00317193721468	2.44216267324567	2.7055416835555697	2.84059705090038	2.63866896429717	2.46948647417612	1.7839995570000202	1.8452059852093101	0.409696304048821	1.81737978176983	1.2550431894094098	2.54125761252554	3.66238658941423	2.06563720871562	1.95335286731513	2.7735012024371097	2.6060748831694	2.4683900309389197	0.6928532135428921	2.29887285657216	2.5828024329856203	2.64833571210269	2.8736975575331605	1.6128103050371299	3.42692219512294	1.8888894991027099	1.66017592860437	1.6778268196564299	3.0602548079056096	2.48227348323666	2.44121183515796
hsa-let-7c-5p|-1|-2	3.53841855573721	2.2685698178994302	2.90460970166589	0.274221741716077	1.96911957896598	1.48814605724604	2.26334984548419	2.7055416835555697	3.1577015873325096	1.9415081760376698	2.28986804174038	2.06244448733102	2.8337016347665096	1.2768499588309798	1.9579273964666	1.4507117282820299	1.96072566368254	3.7067402077091898	1.984991544752	2.49584154235646	2.9090488498374802	2.71656598350215	2.09583743242234	1.2859625819360199	2.7362323288787205	1.92882531078746	2.7818733434238396	3.18389657418036	1.8781412784461298	3.4898831593481296	2.0739596106171496	1.9563296159497299	1.5165590903199	2.51054865993553	1.69237796141926	3.02481552446819
hsa-let-7c-5p|-1|0	3.76541349871203	3.07008895781306	3.06036842582648	0.8776391532733141	1.6240310599681202	1.7685202919594898	1.8721332350454398	2.7756640234056498	1.4651407824245601	2.9457808570432595	2.90371760688813	1.4386425627194301	1.6422765306103	0.728410164263722	2.08599012370028	1.53941768468992	1.83640075622947	3.59318965579136	3.12728426402657	2.3154599752211	1.8853015609615	2.28596851201513	2.0082139989338503	1.51067425474083	2.01772881939223	2.14773927511963	3.50286544012504	1.8628501527396002	1.70678135074164	2.32132486589821	1.12616767636534	2.20192165820225	1.2348149936970199	2.35362578426483	2.9671064282927997	2.68159294995882
hsa-let-7c-5p|0|+1	6.5800159813659596	5.44228938013549	6.43246539658299	1.89586096807344	4.192471279934851	4.682134694581491	4.75348896218175	6.34998837601561	5.155065691892401	5.69483361911386	5.74191284288638	4.97945131702966	5.03666609808663	3.7988083224933304	4.013143396247701	4.00726991572677	4.88773848359721	6.9067432013518095	5.19891943384004	5.026803928120231	5.45563288373255	6.624243777490681	4.4861850876038805	3.41388429292175	5.91280821638015	5.50129045289268	6.61885383254113	5.54029410495785	4.272052042440629	5.978368636710759	4.97335318705994	4.98767700480918	4.09364052516176	5.502739309898129	5.63962536683017	5.28204951724081
hsa-let-7c-5p|0|-1	8.137475578059501	6.33040670327253	7.38924894536227	4.49583445668967	7.1388756168453895	5.6765702665841	7.62858675957106	7.59735380805774	7.98022987223652	6.82228956425161	6.30016539688672	7.641550292399581	7.87990469462828	5.70684433537076	7.13322676753083	6.44831866535136	6.698318374912209	7.968317835259861	6.66017202531716	7.133791065895981	7.728285213891799	7.4981861013737205	6.33723529083941	6.09595635110556	7.9793535413743495	6.77961029968521	7.4898920224403	8.40330464814238	6.97433777935768	8.6046532977837	7.24847872381035	7.24791311774552	6.41373115858541	6.94091734743154	7.265703592243231	7.83888349896112
hsa-let-7c-5p|0|-2	8.03130893861969	6.06839039357625	7.2904327429846205	4.839611105979309	7.794009119409631	5.7320685029279295	8.02575798189522	7.77262637654033	8.563846235811571	5.94152809375314	6.136964384937721	8.125921384143581	8.092935365831138	5.891098955818619	7.37022501127379	6.571755324620219	6.5127434507569095	8.15496427498268	6.79932911148767	7.195992982179531	8.00160553928521	7.4063815291734505	6.59954302056237	6.06529370099952	7.9415049273795795	6.43934408131429	6.90650168858724	8.67806746338654	7.36143982386892	8.83882930808322	7.66715146739195	7.61242341063822	6.9203428363463795	7.09450381292537	6.65911188414723	8.008453010496401
hsa-let-7c-5p|0|-3	5.35601613454055	4.24023761804801	4.806172079395759	2.94465780005529	5.393083586569049	3.61269087724771	5.69155263250488	5.16037907932548	6.19948689382118	3.5602337955922003	3.50762173768348	5.80066759018255	5.546333930936309	3.76435701703954	5.094991695726599	4.06817213467615	4.40925790472826	5.53793067913059	4.59774911999185	4.82789392126752	5.784256684766341	4.5567091125555494	4.63985777742077	3.66824032393768	5.546643542928389	3.9400907933181	4.783972646462139	6.5998546761391195	5.040291514884321	6.111122794370901	5.241656905529809	5.10301516086935	4.73050586165993	4.698222768060379	3.91984550253304	5.4211599678632
