Project	miRNA	shift_5	median_expr_5	fraction_5	shift_3	median_expr_3	fraction_3
TCGA-ESCA	hsa-miR-182-5p	0	13.925177634963514	1.0	0	12.419774354088764	0.3350802502470408
TCGA-ESCA	hsa-miR-183-5p	0	11.804949496580333	0.654607434490488	+1	11.493065466782753	0.5210671549547843
TCGA-ESCA	hsa-miR-192-5p	+1	8.650664952533178	0.5182867795021494	+2	8.635856517527996	0.49796972074086165
TCGA-ESCA	hsa-miR-194-5p	0	8.516829231307128	1.0	0	8.222470944450402	0.8057977183856341
TCGA-ESCA	hsa-miR-197-3p	0	7.941475996777281	1.0	0	7.733502814608997	0.8688691498722082
TCGA-ESCA	hsa-miR-199a-3p	0	9.77464558461082	0.630406444259825	-1	9.654269768521472	0.5830620406561728
TCGA-ESCA	hsa-miR-199a-5p	0	8.896939272192878	1.0	0	8.371894470651915	0.7243985473398058
TCGA-ESCA	hsa-miR-199b-3p	0	9.764838340088119	0.6292907295441157	-1	9.654269768521472	0.5862368124305035
TCGA-ESCA	hsa-miR-200a-3p	0	9.056122147298016	1.0	+1	8.514173213658514	0.7574645420188096
TCGA-ESCA	hsa-miR-200a-5p	0	9.650038094057189	0.9637638017254617	0	9.336844578717765	0.7761052921396385
TCGA-ESCA	hsa-miR-200b-3p	0	10.344098842017761	1.0	+1	9.179104917277831	0.4401252262693315
TCGA-ESCA	hsa-miR-200c-3p	0	13.475548324815154	0.9966589830166157	0	13.055048978289658	0.735165911860506
TCGA-ESCA	hsa-miR-203a-3p	0	13.499927492537946	0.6327372288448381	0	13.966330104553078	0.8636963958729977
TCGA-ESCA	hsa-miR-205-5p	0	11.712933464146625	1.0	0	10.913743374457386	0.5551398539105727
TCGA-ESCA	hsa-miR-20a-5p	0	9.218384953502227	1.0	0	9.170525577133386	0.9618234404844888
TCGA-ESCA	hsa-miR-21-3p	0	11.331487272347847	0.9928843643722491	+1	10.848070784430107	0.7203908088760465
TCGA-ESCA	hsa-miR-21-5p	0	18.304800845558486	0.9985422968889157	0	17.773767074749745	0.7112132855516382
TCGA-ESCA	hsa-miR-210-3p	0	8.77023544554623	1.0	0	8.560652831046543	0.8605856964921934
TCGA-ESCA	hsa-miR-22-3p	0	15.842590934695975	0.9900224023749804	0	15.819868175554307	0.9812530287911108
TCGA-ESCA	hsa-miR-23a-3p	0	11.364276949592622	0.9858751618305878	+1	9.802685161150057	0.35257142765505944
TCGA-ESCA	hsa-miR-23b-3p	0	9.967680015446852	0.9794095634455399	0	8.634677649628719	0.4209252051285285
TCGA-ESCA	hsa-miR-24-3p	0	10.95301474908725	1.0	0	10.583112880922164	0.7849680807073883
TCGA-ESCA	hsa-miR-25-3p	0	13.34669768521003	0.9990700965255853	0	13.240040972081337	0.9331167718626445
TCGA-ESCA	hsa-miR-26a-5p	0	10.569223422600398	1.0	0	9.731087125582608	0.5505587809873871
TCGA-ESCA	hsa-miR-26b-5p	0	9.217589076411866	1.0	+1	8.832579730296747	0.7956365296570396
TCGA-ESCA	hsa-miR-27a-3p	0	10.731055702786922	1.0	0	9.871379760463897	0.5406540706681444
TCGA-ESCA	hsa-miR-27b-3p	0	10.7488055410465	0.9932018249755887	0	10.125662404615268	0.6434117796502485
TCGA-ESCA	hsa-miR-28-3p	0	11.941921292144233	0.9248991744456422	0	11.523994056903295	0.6873425808540485
TCGA-ESCA	hsa-miR-29a-3p	0	12.085785565794062	0.8500060831634291	-1	11.736178439116575	0.6556848990157831
TCGA-ESCA	hsa-miR-29b-3p	0	9.122107492752804	0.9424186214311199	0	8.535481506884297	0.6781002237462908
TCGA-ESCA	hsa-miR-29c-3p	0	10.19753965125263	0.9960803182114017	-1	9.168447957728022	0.49166017525335887
TCGA-ESCA	hsa-miR-30a-3p	0	10.200960924864592	0.8054051383887331	0	9.57390013176705	0.5246855969870639
TCGA-ESCA	hsa-miR-30a-5p	0	13.097977442192079	0.9959802922042689	0	12.454728599225787	0.672604714397565
TCGA-ESCA	hsa-miR-30b-5p	0	8.579525125556007	1.0	0	8.338566632958331	0.8584045869198429
TCGA-ESCA	hsa-miR-30c-5p	0	9.20420346573596	1.0	+1	7.989732329649284	0.4108022847484303
TCGA-ESCA	hsa-miR-30d-5p	0	12.172127210340586	1.0	0	11.742339696251433	0.747360951002447
TCGA-ESCA	hsa-miR-30e-3p	0	11.369575707281651	0.9843490340750604	0	10.48834900972193	0.5482012197214043
TCGA-ESCA	hsa-miR-30e-5p	0	11.720565825772644	0.8544161664544522	+1	10.557421058323952	0.39709235918013347
TCGA-ESCA	hsa-miR-320a-3p	0	9.185659055009912	0.933600227092495	0	8.460126188068454	0.5885014612119991
TCGA-ESCA	hsa-miR-338-3p	0	9.032280769737236	1.0	+1	8.440300737432748	0.6704152555036782
TCGA-ESCA	hsa-miR-374a-3p	0	9.42372739642089	1.0	0	9.20378131166657	0.8771531465937716
TCGA-ESCA	hsa-miR-375-3p	0	10.924135880790525	0.9679322034943258	0	10.919823994654104	0.9497483714570067
TCGA-ESCA	hsa-miR-378a-3p	0	9.577069610459413	0.9478793902346172	0	9.354750646006318	0.8249547550138798
TCGA-ESCA	hsa-miR-379-5p	0	8.695025106872025	1.0	0	8.308263273597206	0.7749305519080717
TCGA-ESCA	hsa-miR-532-5p	0	9.371367862957188	0.9794004718982734	0	9.307208631770967	0.9254158441953761
TCGA-ESCA	hsa-miR-9-5p	0	9.548290528200285	0.9878753152075588	0	8.836108174428874	0.6268620805408823
TCGA-ESCA	hsa-miR-92a-3p	0	13.724577414879686	0.9899573826971582	0	13.640589995184808	0.9387092477071267
TCGA-ESCA	hsa-miR-93-5p	0	13.089296831780167	0.9959074577541169	0	13.055858365837016	0.9737839506736641
TCGA-ESCA	hsa-miR-99b-5p	0	13.278871357083815	0.9983420225871752	0	12.808446586859338	0.7013866724142266
TCGA-HNSC	hsa-let-7a-5p	0	14.776031345553731	0.997648570091118	0	14.106525703928089	0.6199261597731331
TCGA-HNSC	hsa-let-7b-5p	0	13.954320958866251	1.0	0	12.4707119342609	0.38129043949132013
TCGA-HNSC	hsa-let-7c-5p	0	10.257453838860034	0.9926673253939363	0	9.5632452921082	0.615593929879652
TCGA-HNSC	hsa-let-7e-5p	0	9.628221617325787	1.0	0	9.00944779058424	0.6381502890173414
TCGA-HNSC	hsa-let-7f-5p	0	12.978692019350223	1.0	0	12.497278943566696	0.7269123854627815
TCGA-HNSC	hsa-let-7g-5p	0	8.697807153394104	1.0	0	8.28711164367439	0.7561252268602539
TCGA-HNSC	hsa-let-7i-5p	0	8.962410540863258	1.0	+1	7.41240772001159	0.3583458395864598
TCGA-HNSC	hsa-miR-100-5p	0	10.942699563097493	0.9960138648180242	-1	10.65817683666004	0.8175318619832195
TCGA-HNSC	hsa-miR-101-3p	0	12.121710662213252	0.7165498652291115	-1	12.216920337370922	0.7694425026214606
TCGA-HNSC	hsa-miR-103a-3p	0	14.456938630640703	0.9813780041643635	0	14.260121760671781	0.8697009910792325
TCGA-HNSC	hsa-miR-106b-3p	0	8.373832407155062	0.9340245051837889	-1	8.248256284857996	0.8632567849686852
TCGA-HNSC	hsa-miR-10a-5p	0	11.040158876564824	0.7947946175637394	-1	11.01316153016038	0.8168155970755486
TCGA-HNSC	hsa-miR-10b-5p	0	14.225575706053933	0.8886973612140354	-1	13.911376932867446	0.7207993488839269
TCGA-HNSC	hsa-miR-125b-5p	0	8.609499591845621	1.0	0	8.15582370642276	0.7192572013452259
TCGA-HNSC	hsa-miR-126-3p	0	10.508898501715711	0.8051040967091959	0	10.753853200769026	0.9336088340898306
TCGA-HNSC	hsa-miR-127-3p	0	8.767598290550891	1.0	0	7.69339265652411	0.4792597319719203
TCGA-HNSC	hsa-miR-1307-3p	0	9.811593861819759	0.6506067961165053	+1	10.163800962684792	0.8331482950039659
TCGA-HNSC	hsa-miR-140-3p	+1	8.691153827965945	0.5249320036264731	+2	8.324492638800601	0.4069230769230768
TCGA-HNSC	hsa-miR-141-3p	0	9.532648877196253	1.0	+1	8.9465715185412	0.7080443828016643
TCGA-HNSC	hsa-miR-141-5p	0	9.393428098611817	1.0	-1	8.89919082047433	0.726970770593445
TCGA-HNSC	hsa-miR-142-3p	+1	10.531117602462679	0.8323076923076916	-1	10.086228334215136	0.6204458945078859
