	TCGA	miRNA	5shift	3shift	5frac	3frac
435	TCGA-BLCA	hsa-miR-29b-3p	0	0	0.8783535625515329	0.6145919289003496
430	TCGA-BLCA	hsa-miR-29c-3p	0	-1	0.9960207338377076	0.5177055780332422
371	TCGA-BLCA	hsa-miR-30a-3p	0	0	0.8061852594489022	0.5296991275527388
428	TCGA-BLCA	hsa-miR-30a-5p	0	0	0.9957029659740495	0.7236506698063775
410	TCGA-BLCA	hsa-miR-30b-5p	0	0	1.0	0.8246939509491805
382	TCGA-BLCA	hsa-miR-30c-5p	0	0	1.0	0.4840284152793083
367	TCGA-BLCA	hsa-miR-30d-5p	0	0	1.0	0.7802347545115506
404	TCGA-BLCA	hsa-miR-30e-3p	0	0	0.9822380081090816	0.5010727483147492
405	TCGA-BLCA	hsa-miR-30e-5p	0	+1	0.835198409076332	0.36127224376068245
381	TCGA-BLCA	hsa-miR-320a	0	0	0.9104514512345294	0.6150075020947413
399	TCGA-BLCA	hsa-miR-361-5p	0	0	1.0	0.707739853960383
392	TCGA-BLCA	hsa-miR-374a-3p	0	0	1.0	0.8642462267930062
422	TCGA-BLCA	hsa-miR-378a-3p	0	0	0.9394858526493477	0.8184902136009613
393	TCGA-BLCA	hsa-miR-379-5p	0	0	1.0	0.7588623741845604
397	TCGA-BLCA	hsa-miR-429	0	0	1.0	0.8739759196473
387	TCGA-BLCA	hsa-miR-532-5p	0	0	0.9753510399464433	0.9333859208614035
433	TCGA-BLCA	hsa-miR-584-5p	0	-1	1.0	0.8955619360131256
368	TCGA-BLCA	hsa-miR-9-5p	0	0	0.9827483220925843	0.5984817293667437
400	TCGA-BLCA	hsa-miR-92a-3p	0	0	0.9892411194805562	0.9527608616729117
408	TCGA-BLCA	hsa-miR-93-5p	0	0	0.996514429366675	0.9676786541758682
421	TCGA-BLCA	hsa-miR-99b-5p	0	0	0.9974426731261146	0.6626878552654818
320	TCGA-BRCA	hsa-let-7a-5p	0	0	0.9958175539864049	0.5936573965966067
333	TCGA-BRCA	hsa-let-7b-5p	0	-2	1.0	0.4705983968127462
303	TCGA-BRCA	hsa-let-7c-5p	0	0	0.9893585184874308	0.6157900711007561
343	TCGA-BRCA	hsa-let-7e-5p	0	0	1.0	0.6472032097191024
314	TCGA-BRCA	hsa-let-7f-5p	0	0	1.0	0.6856012580688239
321	TCGA-BRCA	hsa-let-7g-5p	0	0	1.0	0.7603649311248932
331	TCGA-BRCA	hsa-miR-100-5p	0	-1	0.9839100533958586	0.8639108826787845
317	TCGA-BRCA	hsa-miR-101-3p	0	-1	0.6720244302573327	0.8217046940873349
351	TCGA-BRCA	hsa-miR-103a-3p	0	0	0.9741777703207464	0.8818796406424314
336	TCGA-BRCA	hsa-miR-10a-5p	0	-1	0.7922465991180413	0.8945969351035687
347	TCGA-BRCA	hsa-miR-10b-5p	0	-1	0.8969809270632968	0.7805675431564482
330	TCGA-BRCA	hsa-miR-125a-5p	0	-2	1.0	0.5570149842948107
315	TCGA-BRCA	hsa-miR-125b-5p	0	0	1.0	0.7377294149899528
353	TCGA-BRCA	hsa-miR-126-3p	0	0	0.8737161860033207	0.9417820810255189
363	TCGA-BRCA	hsa-miR-1307-3p	0	+1	0.5806763816042333	0.8657498026298821
322	TCGA-BRCA	hsa-miR-141-3p	0	+1	1.0	0.5344433383354392
308	TCGA-BRCA	hsa-miR-141-5p	0	-1	1.0	0.7886523984831406
365	TCGA-BRCA	hsa-miR-142-3p	+1	-1	0.8142087242519678	0.6584943610083277
325	TCGA-BRCA	hsa-miR-143-3p	0	-1	0.9898463564065026	0.6821366836452764
318	TCGA-BRCA	hsa-miR-145-5p	0	0	1.0	0.445458120709906
305	TCGA-BRCA	hsa-miR-148a-3p	0	0	0.9973187955251241	0.6005772194303043
313	TCGA-BRCA	hsa-miR-151a-3p	0	0	0.8443889612582623	0.4928687842238878
324	TCGA-BRCA	hsa-miR-16-5p	0	0	0.9778067824836886	0.8877833681949234
342	TCGA-BRCA	hsa-miR-181a-2-3p	0	0	0.9877469356446263	0.524763448686562
362	TCGA-BRCA	hsa-miR-181a-5p	0	-1	0.9463483319923258	0.5862980402812158
344	TCGA-BRCA	hsa-miR-182-5p	0	-2	0.9969352071300979	0.392875764352168
361	TCGA-BRCA	hsa-miR-183-5p	0	+1	0.5861949718844859	0.531491725548837
309	TCGA-BRCA	hsa-miR-191-5p	0	-1	0.9917703535998557	0.4332866479925298
358	TCGA-BRCA	hsa-miR-199a-3p	0	-1	0.6370814067736204	0.6149117919368523
334	TCGA-BRCA	hsa-miR-199a-5p	0	0	1.0	0.7644125385297934
340	TCGA-BRCA	hsa-miR-199b-3p	0	-1	0.6365369414777189	0.6173336278002958
306	TCGA-BRCA	hsa-miR-200a-5p	0	0	0.976206202428131	0.7437397871365847
323	TCGA-BRCA	hsa-miR-200b-3p	0	0	1.0	0.4969509694184019
326	TCGA-BRCA	hsa-miR-200c-3p	0	0	0.997416881958131	0.5546341695775385
355	TCGA-BRCA	hsa-miR-203a-3p	0	0	0.6504495780484911	0.7733492372614625
327	TCGA-BRCA	hsa-miR-205-5p	0	0	1.0	0.48098117825492626
332	TCGA-BRCA	hsa-miR-21-3p	0	+1	0.9954885075565749	0.6695447001238517
307	TCGA-BRCA	hsa-miR-21-5p	0	0	0.9971346726180099	0.7053454450202615
357	TCGA-BRCA	hsa-miR-210-3p	0	0	1.0	0.880321201046
302	TCGA-BRCA	hsa-miR-22-3p	0	0	0.9055249748824407	0.9822817322126316
354	TCGA-BRCA	hsa-miR-23a-3p	0	0	0.9204395712131316	0.3894399409271173
352	TCGA-BRCA	hsa-miR-24-3p	0	0	1.0	0.6520353787837192
312	TCGA-BRCA	hsa-miR-25-3p	0	0	0.9973836504338788	0.9084934612616951
341	TCGA-BRCA	hsa-miR-26a-5p	0	0	1.0	0.39350109525164567
