	miRNA	5shift	5isof	3shift	3isof
186	hsa-miR-126-5p	0	0	0	1
187	hsa-miR-30c-2-3p	0	0	0	1
188	hsa-miR-192-5p	0	1	0	1
189	hsa-miR-203a-3p	0	1	0	1
190	hsa-miR-181a-5p	0	0	-1	1
191	hsa-miR-338-3p	0	0	1	1
192	hsa-miR-223-3p	0	1	0	1
193	hsa-miR-423-3p	0	1	0	1
194	hsa-miR-495-3p	0	1	0	1
195	hsa-miR-483-5p	0	0	0	1
196	hsa-let-7i-5p	0	0	1	1
197	hsa-miR-451a	0	0	-1	1
198	hsa-miR-142-3p	1	1	-1	1
